category,geocoded_address,latitude,longitude,name,neighborhood,original_address
Trader Joe's,"748 Memorial Dr, Cambridge, MA",42.3582614,-71.1142037,Trader Joe's (Cambridge - Memorial Drive),Cambridge,"748 Memorial Dr, Cambridge, MA 02139"
Trader Joe's,"211 Alewife Brook Pkwy, Cambridge, MA",42.3901085,-71.1436901,Trader Joe's (Cambridge - Alewife Brook Parkway),Cambridge,"211 Alewife Brook Pkwy, Cambridge, MA 02138"
Trader Joe's,"171 Watertown St, Watertown, MA",42.3638119,-71.1937556,Trader Joe's (Watertown),Watertown,"171 Watertown St, Watertown, MA 02472"
Trader Joe's,"199 N Harvard St, Allston, MA",42.3634369,-71.130034,Trader Joe's (Allston),Allston,"199 N Harvard St, Allston, MA 02134"
Trader Joe's,"199 N Harvard St, Allston, MA",42.3634369,-71.130034,Trader Joe's (Allston - serves Brighton),Brighton,"199 N Harvard St, Allston, MA 02134"
Trader Joe's,"899 Boylston St, Boston, MA",42.3484447,-71.0841008,"Trader Joe's (Boston - Back Bay, serving Fenway-Kenmore)",Fenway-Kenmore,"899 Boylston St, Boston, MA 02115"
Trader Joe's,"1317 Beacon St, Brookline, MA",42.3419075,-71.1205233,Trader Joe's (Brookline),Brookline,"1317 Beacon St, Brookline, MA 02446"
Coworking Space,"130 Bishop Allen Dr, Cambridge, MA,",42.3664367,-71.1035934,Workbar Cambridge,Cambridge,"130 Bishop Allen Dr, Cambridge, MA, 02139"
Coworking Space,"245 Main Street, Cambridge, MA",42.362625,-71.0873413,CIC Cambridge,Cambridge,"One Broadway & 245 Main Street, Cambridge, MA 02142"
Coworking Space,"625 Massachusetts Ave, Cambridge MA 02139",42.3657458,-71.1031564,WeWork (Massachusetts Ave),Cambridge,"625 Massachusetts Ave, Cambridge MA 02139"
Coworking Space,"20 University Road Suite 500, Cambridge, MA",ERROR,ERROR,Industrious (University Road),Cambridge,"20 University Road Suite 500, Cambridge, MA 02138"
Coworking Space,"One Mifflin Place, Cambridge, MA,",42.3733608,-71.1222346,Regus (Harvard Square),Cambridge,"One Mifflin Place, Cambridge, MA, 02138"
Coworking Space,"245 First Street, Cambridge, MA,",42.3636358,-71.0792888,Regus (First Street),Cambridge,"245 First Street, Cambridge, MA, 02142"
Coworking Space,"186 Alewife Brook Pkwy, Cambridge, MA",42.3922895,-71.1411738,Staples Coworking (Cambridge - Fresh Pond),Cambridge,"186 Alewife Brook Pkwy, Cambridge, MA 02138 (Located in Fresh Pond Mall, near Alewife T station)"
Coworking Space,"260 Arsenal Place, Unit 2, Watertown, MA",ERROR,ERROR,MassEcon (Arsenal Place),Watertown,"260 Arsenal Place, Unit 2, Watertown, MA 02472"
Coworking Space,Workbar,42.3663034,-71.1033969,Coworking Space at Workbar (Watertown - nearby,Watertown,"Workbar (Watertown - nearby, check specific address if needed from workbar.com)"
Coworking Space,"134 Coolidge Ave, Watertown, MA",42.3655751,-71.1486884,BioLabs Watertown,Watertown,"134 Coolidge Ave, Watertown, MA 02472"
Coworking Space,"41-43 Mount Auburn St, Watertown, MA",42.3700408,-71.1712854,Downtown Watertown Coworking Space (LoopNet/CityFeet),Watertown,"41-43 Mount Auburn St, Watertown, MA 02472"
Coworking Space,"1080 Commonwealth Ave, Allston, MA",42.3518186,-71.1235785,Regus (Commonwealth Ave),Allston,"1080 Commonwealth Ave, Allston, MA 02215"
Coworking Space,"1660 Soldiers Field Road, Boston, MA",42.3587756,-71.1532564,Staples Coworking (Soldiers Field Road - Allston/Brighton),Allston,"1660 Soldiers Field Road, Boston, MA 02135"
Coworking Space,"957 Commonwealth Ave, Boston, MA",42.352076,-71.1188741,Coworking Space (Commonwealth Ave - Crexi),Allston,"957 Commonwealth Ave, Boston, MA 02215"
Coworking Space,"1660 Soldiers Field Road, Boston, MA",42.3587756,-71.1532564,Staples Coworking Brighton,Brighton,"1660 Soldiers Field Road, Boston, MA 02135 (also listed under Allston)"
Coworking Space,"401 Park Dr, Boston, MA",42.3440365,-71.1024687,401 Park,Fenway-Kenmore,"401 Park Dr, Boston, MA 02215"
Coworking Space,"867 Boylston St, Fl 5 Boston, MA",ERROR,ERROR,Idea Space (Boylston St),Fenway-Kenmore,"867 Boylston St, Fl 5 Boston, MA 02116"
Coworking Space,"136 Brookline Avenue, Suite 2A, Boston, MA",ERROR,ERROR,Oficio Fenway,Fenway-Kenmore,"136 Brookline Avenue, Suite 2A, Boston, MA 02215"
Coworking Space,"177 Huntington Avenue, Boston, MA",42.3449325,-71.0827954,CoworkingCafe (Huntington Ave),Fenway-Kenmore,"177 Huntington Avenue, Boston, MA 02115"
Coworking Space,"202 Washington Street, Brookline, MA",42.332346,-71.1185696,The Village Works,Brookline,"202 Washington Street, Brookline, MA 02445"
Coworking Space,"1309 Beacon Street, Brookline, MA,",42.3420761,-71.1206514,Regus (Beacon Street),Brookline,"1309 Beacon Street, Brookline, MA, 02446"
Coworking Space,"1051 Beacon St, Brookline, MA,",42.3452255,-71.1087546,Davinci Meeting Rooms (Beacon St),Brookline,"1051 Beacon St, Brookline, MA, 02446"
Coworking Space,"501 Boylston St, Boston, MA",42.3513,-71.0746,WeWork (501 Boylston),Back Bay,"501 Boylston St, Boston, MA 02116"
Coworking Space,"1 Beacon St, Boston, MA",42.3580,-71.0608,WeWork (1 Beacon),Beacon Hill,"1 Beacon St, Boston, MA 02108"
Coworking Space,"1 Lincoln St, Boston, MA",42.3550,-71.0589,WeWork (1 Lincoln),Downtown,"1 Lincoln St, Boston, MA 02111"
Coworking Space,"200 Portland St, Boston, MA",42.3652,-71.0623,WeWork (200 Portland),North End,"200 Portland St, Boston, MA 02114"
Coworking Space,"77 Sleeper St, Boston, MA",42.3518,-71.0471,WeWork (Seaport),Seaport,"One Seaport Square, 77 Sleeper St, Boston, MA 02210"
Coworking Space,"33 Arch St, Boston, MA",42.3568,-71.0590,WeWork (33 Arch),Financial District,"33 Arch St, Boston, MA 02110"
Trader Joe's,"145 Middlesex Ave, Somerville, MA",42.3997,-71.0766,Trader Joe's (Somerville),Somerville,"145 Middlesex Ave, Somerville, MA 02145"
Trader Joe's,"44 Thomson Pl, Boston, MA",42.3470,-71.0397,Trader Joe's (Seaport),Seaport,"44 Thomson Pl, Boston, MA 02210"
